bridge_name,state,year_failed,cause,location_text,prefailure_nbi_year,nbi_data_available,download_url,fatalities,injuries,damage_cost_usd,notes
Lake Pontchartrain Causeway,LA,1964,collision,"Lake Pontchartrain Causeway Metairie, Louisiana",1963,no,,6,,,Scraped from Wikipedia. Original cause: Ship collision
Kansas Avenue Bridge,KS,1965,deterioration,"Kansas Avenue Bridge Topeka, Kansas",1964,no,,1,,,Scraped from Wikipedia. Original cause: Structural deterioration
Long Shoal Bridge,MO,1965,overload,"Long Shoal Bridge Benton County, Missouri",1964,no,,3,,,Scraped from Wikipedia. Original cause: Faulty design and overload
Silver Bridge,OH,1967,deterioration,"Silver Bridge Point Pleasant, West Virginia and Gallipolis, Ohio",1966,no,,46,9,,Scraped from Wikipedia. Original cause: Stress corrosion cracking; nonredundant eyebar design
1972 Sidney Lanier Bridge collapse,GA,1972,collision,"1972 Sidney Lanier Bridge collapse Brunswick, Georgia",1971,no,,10,,,Scraped from Wikipedia. Original cause: Struck by the freighter African Neptune
West Side Elevated Highway,NY,1973,overload,West Side Elevated Highway New York City,1972,no,,0,,,Scraped from Wikipedia. Original cause: Poor maintenance and overloading
Benjamin Harrison Memorial Bridge,VA,1977,collision,"Benjamin Harrison Memorial Bridge Hopewell, Virginia",1976,no,,0,,,"Scraped from Wikipedia. Original cause: An ocean-going tanker ship, the 5,700 ton, 523-ft long Marine Floridian struck the bridge, collapsing a section."
Green Island Bridge,NY,1977,scour,"Green Island Bridge Troy, New York",1976,no,,0,0,,Scraped from Wikipedia. Original cause: Flooding undermined the lift span pier resulting in the western lift tower and roadbed span of the bridge collapsing into the Hudson River.
Hood Canal Floating Bridge (William A. Bugge Bridge),WA,1979,extreme_weather,"Hood Canal Floating Bridge (William A. Bugge Bridge) North End of Hood Canal, Washington",1978,no,,0,0,,Scraped from Wikipedia. Original cause: Blown pontoon hatches combined with extreme windstorm
Sunshine Skyway Bridge,FL,1980,collision,"Sunshine Skyway Bridge near St. Petersburg, Florida",1979,no,,35,1,,"Scraped from Wikipedia. Original cause: The freighter Summit Venture struck the bridge during a storm, causing the center section of the southbound span to collapse into Tampa Bay"
Tompkins Hill Road overpass,CA,1980,extreme_weather,"Tompkins Hill Road overpass Humboldt County, California",1979,no,,0,6,,Scraped from Wikipedia. Original cause: Earthquake caused two spans to slip off supporting columns
Hyatt Regency walkway collapse,KS,1981,fracture_critical,"Hyatt Regency walkway collapse Kansas City, Missouri",1980,no,,114,200,,Scraped from Wikipedia. Original cause: Erroneous redesign of supporting member during construction when original design considered too difficult to construct
Cline Avenue over the Indiana Harbor and Ship Canal and surrounding heavy industry,IN,1982,fracture_critical,"Cline Avenue over the Indiana Harbor and Ship Canal and surrounding heavy industry East Chicago, Indiana",1981,no,,14,16,,"Scraped from Wikipedia. Original cause: 1,200 feet (370 m) of the bridge collapsed during construction when a concrete pad supporting shoring towers developed cracks."
Mianus River Bridge,CT,1983,deterioration,"Mianus River Bridge Greenwich, Connecticut",1982,no,,3,3,,Scraped from Wikipedia. Original cause: Metal corrosion and fatigue/Deferred maintenance
"U.S. Highway 36, the Boulder Turnpike, near MP 12.5",CO,1985,collision,"U.S. Highway 36, the Boulder Turnpike, near MP 12.5 Westminster, Colorado",1984,no,,5,,,Scraped from Wikipedia. Original cause: Head-on Train Collision
"Stebbins Rd. Bridge (NY State Rt 90, not to be confused with Interstate 90)",NY,1986,overload,"Stebbins Rd. Bridge (NY State Rt 90, not to be confused with Interstate 90) Hanover, NY",1985,no,,1,3,,Scraped from Wikipedia. Original cause: Likely overloaded
Schoharie Creek Bridge collapse Thruway Bridge,NY,1987,scour,"Schoharie Creek Bridge collapse Thruway Bridge Fort Hunter, New York",1986,no,,10,,,Scraped from Wikipedia. Original cause: Improper protection of footings by contractor led to scour of riverbed under footings.
Schoharie Creek's Mill Point Bridge,NY,1987,scour,"Schoharie Creek's Mill Point Bridge Wellsville, Amsterdam, New York",1986,no,,0,0,,Scraped from Wikipedia. Original cause: Flooding
Tennessee Hatchie River Bridge,TN,1989,deterioration,"Tennessee Hatchie River Bridge Between Covington, Tennessee and Henning, Tennessee",1988,no,,8,,,"Scraped from Wikipedia. Original cause: Shifting river channel, deterioration of foundation timber piles"
Cypress Street Viaduct,CA,1989,extreme_weather,"Cypress Street Viaduct Oakland, California",1988,no,,42,,,Scraped from Wikipedia. Original cause: Destroyed in Loma Prieta earthquake
San Francisco–Oakland Bay Bridge,CA,1989,extreme_weather,"San Francisco–Oakland Bay Bridge connects San Francisco and Oakland, California",1988,no,,1,,,Scraped from Wikipedia. Original cause: 50-foot (15 m) section of the upper deck and lower deck collapsed in Loma Prieta earthquake
Swinging Bridge,AR,1989,misc,"Swinging Bridge Heber Springs, Arkansas",1988,no,,5,,,Scraped from Wikipedia. Original cause: Destroyed by pedestrians swinging the bridge
Lacey V. Murrow Memorial Bridge,WA,1990,scour,"Lacey V. Murrow Memorial Bridge Connects Seattle and Mercer Island, Washington",1989,no,,0,0,,Scraped from Wikipedia. Original cause: Heavy flooding of pontoons
Newhall Pass Interchange,CA,1994,extreme_weather,"Newhall Pass Interchange Newhall, Santa Clarita, California",1993,no,,1,,,Scraped from Wikipedia. Original cause: 1994 Northridge Earthquake
Claiborne Avenue Bridge,LA,1993,collision,"Claiborne Avenue Bridge 9th Ward, New Orleans, Louisiana",1992,no,,1,2,,Scraped from Wikipedia. Original cause: Barge collision
CSXT Big Bayou Canot rail bridge,AL,1993,collision,"CSXT Big Bayou Canot rail bridge near Mobile, Alabama",1992,no,,47,103,,"Scraped from Wikipedia. Original cause: Barge towboat, struck pier in fog; span shifted so next train derailed; impact of derailment destroyed span"
Temporary bridge,NH,1993,misc,"Temporary bridge Hopkinton, New Hampshire",1992,no,,0,1,,Scraped from Wikipedia. Original cause: Collapsed while being dismantled
I-5 Bridge Disaster,CA,1995,deterioration,"I-5 Bridge Disaster Coalinga, California",1994,no,,7,0,,Scraped from Wikipedia. Original cause: Structural failure — support piers collapsed
Walnut Street Bridge,PA,1996,scour,"Walnut Street Bridge Harrisburg, Pennsylvania",1995,no,,0,0,,Scraped from Wikipedia. Original cause: Rising flood waters and ice floes from the North American blizzard of 1996 lifted the spans off their foundations and swept them down the river.
Maiden Choice Footbridge,MD,1999,collision,"Maiden Choice Footbridge Arbutus, Baltimore County, Maryland",1998,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii1998.cfm,1,6,,Scraped from Wikipedia. Original cause: Collision with overheight road vehicle.[49][50]
Charlotte Motor Speedway pedestrian bridge over U.S. Route 29,NC,2000,misc,"Charlotte Motor Speedway pedestrian bridge over U.S. Route 29 Charlotte, North Carolina",1999,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii1999.cfm,0,107,,Scraped from Wikipedia. Original cause: Beam weakness and other unspecified reasons.
Hoan Bridge,WI,2000,fracture_critical,"Hoan Bridge Milwaukee, Wisconsin",1999,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii1999.cfm,0,0,,Scraped from Wikipedia. Original cause: Northbound right lane began to buckle during the morning rush hour and sagged a few feet from violent failure of cross bracing members caused by extremely high stress concentrations in triaxial welds.
I-285 bridge over GA-400,GA,2001,fire,"I-285 bridge over GA-400 Atlanta, Georgia",2000,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2000.cfm,0,1,,"Scraped from Wikipedia. Original cause: A fuel tanker overturned underneath the bridge, engulfing the bridge in fire"
Queen Isabella Causeway,TX,2001,collision,"Queen Isabella Causeway Port Isabel, Texas and South Padre Island, Texas",2000,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2000.cfm,8,,,"Scraped from Wikipedia. Original cause: 4 loaded barges veered 175 feet (53 m) west of the navigation channel and struck one of the bridge supports, causing a partial collapse of 3 sections measuring approximately 80 feet (24 m) each."
I-40 bridge disaster,OK,2002,collision,"I-40 bridge disaster Webbers Falls, Oklahoma",2001,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2001.cfm,14,11,,Scraped from Wikipedia. Original cause: Barge struck one pier of the bridge causing a partial collapse
Marcy Pedestrian Bridge Collapse,NY,2002,construction,"Marcy Pedestrian Bridge Collapse Marcy, New York",2001,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2001.cfm,1,9,,"Scraped from Wikipedia. Original cause: While closed for construction, bridge twisted and collapsed over State Route 49."
Kinzua Bridge,PA,2003,extreme_weather,"Kinzua Bridge Kinzua Bridge State Park, Pennsylvania",2002,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2002.cfm,0,,,Scraped from Wikipedia. Original cause: Hit by tornado
Interstate 95 Howard Avenue Overpass,CT,2004,collision,"Interstate 95 Howard Avenue Overpass Bridgeport, Connecticut",2003,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2003.cfm,0,1,,"Scraped from Wikipedia. Original cause: Car struck a truck carrying heating oil, igniting a fire that melted the superstructure, causing collapse of the southbound lanes"
C-470 overpass over I-70,CO,2004,collision,"C-470 overpass over I-70 Golden, Colorado",2003,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2003.cfm,3,0,,"Scraped from Wikipedia. Original cause: During construction, a girder twisted, sagged, and fell onto I-70. An eastbound SUV struck the fallen girder; the top of the vehicle was torn off and three passengers died instantly.[61]"
I-10 Twin Span Bridge,LA,2005,extreme_weather,"I-10 Twin Span Bridge New Orleans and Slidell, Louisiana",2004,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2004.cfm,0,0,,"Scraped from Wikipedia. Original cause: After Hurricane Katrina on August 29, 2005, the old Twin Spans suffered extensive damage, as the rising storm surge had pulled or shifted bridge segments off their piers."
Biloxi Bay Bridge,MS,2005,extreme_weather,"Biloxi Bay Bridge Biloxi, Mississippi",2004,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2004.cfm,0,0,,"Scraped from Wikipedia. Original cause: After Hurricane Katrina on August 29, 2005, the original U.S. Route 90 crossing over the Biloxi Bay suffered extensive damage, as the rising storm surge shifted bridge segments off their piers."
Interstate 88 Bridge,NY,2006,scour,"Interstate 88 Bridge Unadilla, New York",2005,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2005.cfm,2,,,Scraped from Wikipedia. Original cause: Collapsed during Mid-Atlantic United States flood of 2006
MacArthur Maze,CA,2007,collision,"MacArthur Maze Oakland, California",2006,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2006.cfm,0,1,,"Scraped from Wikipedia. Original cause: Tanker truck crash and explosion, resulting fire softened steel sections of flyover causing them to collapse."
Minneapolis I-35W bridge over the Mississippi River,MN,2007,overload,"Minneapolis I-35W bridge over the Mississippi River Minneapolis, Minnesota",2006,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2006.cfm,13,145,,"Scraped from Wikipedia. Original cause: The NTSB said that undersized gusset plates, increased concrete surfacing load, and weight of construction supplies/equipment caused this collapse."
Harp Road bridge,WA,2007,collision,"Harp Road bridge Oakville, Washington",2006,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2006.cfm,0,0,,Scraped from Wikipedia. Original cause: Collapsed under weight of a truck hauling an excavator[73][74]
The Cedar Rapids and Iowa City Railway (CRANDIC) bridge,IA,2008,scour,"The Cedar Rapids and Iowa City Railway (CRANDIC) bridge Cedar Rapids, Iowa",2007,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2007.cfm,0,0,,Scraped from Wikipedia. Original cause: During June 2008 Midwest floods
Popp's Ferry Bridge,MS,2009,collision,"Popp's Ferry Bridge Biloxi, Mississippi",2008,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2008.cfm,0,0,,Scraped from Wikipedia. Original cause: A tugboat pushing eight barges hit the bridge pilings
9 Mile Road Bridge at I-75,MI,2009,misc,"9 Mile Road Bridge at I-75 Hazel Park, Michigan",2008,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2008.cfm,0,1,,Scraped from Wikipedia. Original cause: Collapsed due to tanker accident[84]
San Francisco – Oakland Bay Bridge,CA,2009,misc,"San Francisco – Oakland Bay Bridge Connects San Francisco and Oakland, California",2008,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2008.cfm,0,1,,"Scraped from Wikipedia. Original cause: Two tension rods and a crossbeam from a recently installed repair collapsed during the evening commute, causing the bridge to be closed temporarily."
Eggner's Ferry Bridge (1932) over Kentucky Lake (Tennessee River),Y,2012,collision,"Eggner's Ferry Bridge (1932) over Kentucky Lake (Tennessee River) Between Trigg County, Kentucky and Marshall County, Kentucky",2011,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2011.cfm,0,0,,Scraped from Wikipedia. Original cause: The MV Delta Mariner struck the bottom of a span of the bridge when travelling in the incorrect channel of the river.
Jay Cooke State Park Swinging Bridge,MN,2012,scour,"Jay Cooke State Park Swinging Bridge Carlton, Minnesota",2011,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2011.cfm,0,0,,Scraped from Wikipedia. Original cause: Raging floodwaters
I-5 Skagit River Bridge collapse,WA,2013,collision,"I-5 Skagit River Bridge collapse Mount Vernon, Washington",2012,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2012.cfm,0,3,,Scraped from Wikipedia. Original cause: Oversized semi-truck load carrying drilling equipment from Alberta clipped top steel girder causing bridge collapse.
Pedestrian bridge over Moanalua Freeway,HI,2012,collision,"Pedestrian bridge over Moanalua Freeway Honolulu, Hawaii",2011,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2011.cfm,0,,,"Scraped from Wikipedia. Original cause: A dump truck was towing a trailer carrying a forklift, which impacted the pedestrian bridge over Moanalua Road."
Scott City roadway bridge collapse,MO,2013,misc,"Scott City roadway bridge collapse Scott City, Missouri",2012,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2012.cfm,0,7,,"Scraped from Wikipedia. Original cause: A Union Pacific train t-boned a Burlington Northern Santa Fe train outside Scott City, Missouri, at about 2:30 am, which caused numerous rail cars to hit an overpass support pillar, collapsing two bridge sections onto the rail line. Two cars drove onto the collapsed sections, injuring five people. Two train occupants were injured.[105][106]"
Hopple Street Overpass over I-75 Southbound,OH,2015,misc,"Hopple Street Overpass over I-75 Southbound Cincinnati, Ohio",2014,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2014.cfm,1,0,,Scraped from Wikipedia. Original cause: Old Northbound Hopple Street offramp totally collapsed onto roadway below during demolition[110]
Pennsy Bridge,PA,2015,misc,"Pennsy Bridge Ridgway, Pennsylvania",2014,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2014.cfm,0,3,,Scraped from Wikipedia. Original cause: Partial collapse during demolition.
I-10 Bridge,CA,2015,scour,I-10 Bridge Southern California,2014,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2014.cfm,0,1,,"Scraped from Wikipedia. Original cause: Remnants of Hurricane Dolores record breaking rainfall caused abutment displacement due to stream meander, which caused abutment scour."
Bob White Covered Bridge,VA,2015,scour,"Bob White Covered Bridge Patrick County, Virginia",2014,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2014.cfm,0,0,,Scraped from Wikipedia. Original cause: Destruction due to major flooding
May Ave. Overpass,OK,2016,misc,"May Ave. Overpass Oklahoma City, Oklahoma",2015,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2015.cfm,0,,,"Scraped from Wikipedia. Original cause: An over-sized load hit the bridge, causing a section of the deck to fail"
Pfeiffer Canyon Bridge,CA,2017,extreme_weather,"Pfeiffer Canyon Bridge Pfeiffer Big Sur State Park Big Sur, California",2016,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2016.cfm,0,,,Scraped from Wikipedia. Original cause: Massive rain and landslide
"I-85N, Atlanta",GA,2017,fire,"I-85N, Atlanta Atlanta, Georgia",2016,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2016.cfm,0,0,,"Scraped from Wikipedia. Original cause: Fire (allegedly arson) involving HDPE pipe and other construction materials stored under bridge critically weakened structure, which collapsed."
Florida International University pedestrian bridge collapse,FL,2018,fracture_critical,"Florida International University pedestrian bridge collapse Sweetwater and University Park, Florida",2017,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2017.cfm,6,,,"Scraped from Wikipedia. Original cause: Partially constructed concrete truss bridge, a rare design. Main span (174 ft.) prefabricated and moved over busy city street. Faulty design (insufficient rebar for interface shear capacity), lack of redundancy, lack of peer review and oversight all contributed to failure. Work was performed while street was open to traffic.[133][134]"
Dale Bend Bridge,AR,2019,collision,"Dale Bend Bridge Ola, Arkansas",2018,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2018.cfm,0,,,Scraped from Wikipedia. Original cause: Overweight truck
Pensacola Bay Bridge,FL,2020,collision,"Pensacola Bay Bridge Pensacola, Florida",2019,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2019.cfm,0,,,Scraped from Wikipedia. Original cause: Unsecured barge during Hurricane Sally
GA Route 86 overpass of Interstate 16,GA,2021,collision,"GA Route 86 overpass of Interstate 16 Treutlen County, Georgia near Soperton",2020,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2020.cfm,0,0,,Scraped from Wikipedia. Original cause: Bridge struck by raised dump trailer
Forbes Avenue Bridge over Nine Mile Run and Fern Hollow Creek,PA,2022,deterioration,"Forbes Avenue Bridge over Nine Mile Run and Fern Hollow Creek Pittsburgh, Pennsylvania",2021,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2021.cfm,0,10,,Scraped from Wikipedia. Original cause: Corrosion and poor maintenance
Sanibel Causeway,FL,2022,extreme_weather,"Sanibel Causeway Sanibel, Florida",2021,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2021.cfm,0,,,Scraped from Wikipedia. Original cause: Collapsed due to Hurricane Ian[174]
Interstate 95 bridge collapse,PA,2023,fire,"Interstate 95 bridge collapse Philadelphia, Pennsylvania",2022,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2022.cfm,1,,,Scraped from Wikipedia. Original cause: Tanker fire on underpass
2023 Reed Point bridge collapse,MT,2023,misc,"2023 Reed Point bridge collapse Near Columbus, Montana",2022,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2022.cfm,0,,,Scraped from Wikipedia. Original cause: Train derailment
Francis Scott Key Bridge collapse,MD,2024,collision,"Francis Scott Key Bridge collapse Baltimore, Maryland",2023,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2023.cfm,6,,,Scraped from Wikipedia. Original cause: Ship collision
Babb's Covered Bridge,ME,2024,collision,"Babb's Covered Bridge Gorham, Maine",2023,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2023.cfm,0,1,,Scraped from Wikipedia. Original cause: Overweight truck
Portland & Western Mary's River Rail bridge,OR,2025,misc,"Portland & Western Mary's River Rail bridge Corvallis, Oregon",2024,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2024.cfm,0,,,Scraped from Wikipedia. Original cause: nan
Old Vaucluse Road overpass of Interstate 20,SC,2025,collision,"Old Vaucluse Road overpass of Interstate 20 Aiken County, South Carolina near Vaucluse",2024,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2024.cfm,0,2,,Scraped from Wikipedia. Original cause: Fire due to fuel truck accident
Aldridge Creek Bridge,AL,2025,deterioration,"Aldridge Creek Bridge Huntsville, Alabama",2024,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2024.cfm,0,0,,Scraped from Wikipedia. Original cause: Poor maintenance and old age
Carroll Road bridge,MD,2025,misc,"Carroll Road bridge Baltimore County, Maryland",2024,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii2024.cfm,0,,,Scraped from Wikipedia. Original cause: Under investigation
